Date,short_mean_raw,short_variance_raw,short_skewness_raw,short_kurtosis_raw,short_mean_norm,short_variance_norm,short_skewness_norm,short_kurtosis_norm,short_bri,short_risk_level,mid_mean_raw,mid_variance_raw,mid_skewness_raw,mid_kurtosis_raw,mid_mean_norm,mid_variance_norm,mid_skewness_norm,mid_kurtosis_norm,mid_bri,mid_risk_level,long_mean_raw,long_variance_raw,long_skewness_raw,long_kurtosis_raw,long_mean_norm,long_variance_norm,long_skewness_norm,long_kurtosis_norm,long_bri,long_risk_level,composite_bri,composite_risk_level,price,returns
1993-09-24 00:00:00+08:00,,,,,,,,,,0,,,,,,,,,,0,,,,,,,,,,0,,0,5266.83984375,-0.044749240311466515
1993-09-27 00:00:00+08:00,0.005468388724683756,0.0007696721065884113,0.7077584672360119,1.3110152541390265,1.8566666773350644,0.6038643861761921,1.1066271095056361,0.09069738471374744,0.91446388943266,0,,,,,,,,,,0,,,,,,,,,,0,,0,5211.33984375,-0.01059354213923979
1993-09-28 00:00:00+08:00,0.005362331987641735,0.0007548523140617151,0.7254406635775758,1.4008214904465124,1.8200355046305883,0.5762955221976892,1.1368281940781075,0.1285410742049178,0.9154250737778258,0,,,,,,,,,,0,,,,,,,,,,0,,0,5211.64990234375,5.949513554061782e-05
1993-09-29 00:00:00+08:00,0.005507558316581136,0.0007411480039998943,0.7142516611035827,1.4551178984651578,1.8701955499515044,0.5508017604373286,1.1177174454204684,0.15142118242488822,0.9225339845585474,0,,,,,,,,,,0,,,,,,,,,,0,,0,5279.39013671875,0.012914101092490657
1993-09-30 00:00:00+08:00,0.005703384791831542,0.0007289276022148042,0.6961861937975108,1.491133228557793,1.9378324925453936,0.5280684735867257,1.0868617363551067,0.16659777844970214,0.9298401202342321,0,,,,,,,,,,0,,,,,,,,,,0,,0,5363.93017578125,0.015886361504852644
1993-10-04 00:00:00+08:00,0.005565214787001302,0.0007162051625422978,0.7164824969596074,1.5764283724100543,1.890109646730239,0.5044012590711235,1.1215276995910282,0.2025405266570516,0.9296447830123605,0,,,,,,,,,,0,,,,,,,,,,0,,0,5354.509765625,-0.0017577954690014444
1993-10-05 00:00:00+08:00,0.005788754980121246,0.0007056904659634053,0.6941941735659797,1.5971438182411979,1.967318692086067,0.48484105003064376,1.0834593778290265,0.21126986363784667,0.936722245895896,0,,,,,,,,,,0,,,,,,,,,,0,,0,5451.0,0.017859925408598227
1993-10-06 00:00:00+08:00,0.005629935308577547,0.000694272256750494,0.7160125021109941,1.6778615681129923,1.9124636118766856,0.4636000605834713,1.1207249512277928,0.2452837315847826,0.9355180888181831,0,,,,,,,,,,0,,,,,,,,,,0,,0,5434.10009765625,-0.003105146626325888
1993-10-07 00:00:00+08:00,0.00604944749733968,0.0006919059950415893,0.670691481233335,1.5836681575714324,2.0573598614387447,0.45919816716473283,1.0433169212524926,0.20559131903957503,0.9413665672238863,0,,,,,,,,,,0,,,,,,,,,,0,,0,5597.02978515625,0.02954213006801915
1993-10-08 00:00:00+08:00,0.005742655939089756,0.0006852263148665711,0.6988744717378246,1.6242751970453555,1.9513964415941802,0.44677213664957877,1.0914532988432397,0.22270282772974323,0.9280811762041856,0,,,,,,,,,,0,,,,,,,,,,0,,0,5531.68017578125,-0.011744462881155928
1993-10-11 00:00:00+08:00,0.005831870585612867,0.0006738816639946271,0.6932922966719778,1.6853689122541706,1.9822104871296564,0.42566798581826115,1.0819189775403089,0.24844727135956357,0.9345611804619476,0,,,,,,,,,,0,,,,,,,,,,0,,0,5592.89990234375,0.011006320083953292
1993-10-12 00:00:00+08:00,0.006196139565106211,0.0006704214542413414,0.6533050957663921,1.6158066862584668,2.1080261615588722,0.41923105008831896,1.0136210798675367,0.21913425937804928,0.9400031377231942,0,,,,,,,,,,0,,,,,,,,,,0,,0,5749.919921875,0.027688009355213462
1993-10-13 00:00:00+08:00,0.006316155571373158,0.0006601263976846953,0.6430419451323198,1.6654936764521124,2.1494787573626084,0.40007943151134523,0.9960916805614652,0.24007199272432933,0.946430465539937,0,,,,,,,,,,0,,,,,,,,,,0,,0,5828.169921875,0.013517115947390027
1993-10-14 00:00:00+08:00,0.006664832614611647,0.0006568423456502113,0.6048902362861349,1.6015818395345969,2.269909098189467,0.3939701972778752,0.9309287922420142,0.21314001326985607,0.9519870252448032,0,,,,,,,,,,0,,,,,,,,,,0,,0,5993.27001953125,0.027934132252159478
1993-10-15 00:00:00+08:00,0.006733697610571843,0.0006465468846918778,0.6007746754870038,1.6630009673002761,2.293694532577397,0.3748178264032501,0.9238994392500706,0.23902158336510726,0.9578583453989562,0,,,,,,,,,,0,,,,,,,,,,0,,0,6059.580078125,0.011003327360104022
